Id,FirstName,LastName,YearDied,Type,Score,Rank,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,DeletedDate,DeletedBy
549,TJ,Drysdale,,"[photography,fantasy,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
550,Albert,Dubois-Pillet,1890,"[impressionism,pointillism]",0,0,0001-01-01,2,0001-01-01,2,,
551,Jean,Dubuffet,1985,"[high contrast,abstract,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
552,,Duccio,1319,"[renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
553,Marcel,Duchamp,1968,"[surrealism,cubism,fauvism,expressionism,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
554,Raymond,Duchamp-Villon,1918,"[sculpture,cubism]",0,0,0001-01-01,2,0001-01-01,2,,
555,Joseph,Ducreux,1802,"[character,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
556,Raoul,Dufy,1953,"[fauvism]",0,0,0001-01-01,2,0001-01-01,2,,
557,Edmund,Dulac,1953,"[whimsical,art nouveau]",0,0,0001-01-01,2,0001-01-01,2,,
558,Marlene,Dumas,,"[watercolor,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
559,Evelyn,Dunbar,1960,"[scene,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
560,John,Duncan,,"[symbolism,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
561,Robert S.,Duncanson,1972,"[landscape,romanticism,realism]",0,0,0001-01-01,2,0001-01-01,2,,
562,Max,Dupain,1992,"[photography,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
563,Asher Brown,Durand,1886,"[landscape,luminism,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
564,Albrecht,Durer,1528,"[renaissance,detailed,scene]",0,0,0001-01-01,2,0001-01-01,2,,
565,Bill,Durgin,,"[sculpture,nudity]",0,0,0001-01-01,2,0001-01-01,2,,
566,Charles,Dwyer,,"[watercolor,messy,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
567,William,Dyce,1864,"[portrait,romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
568,Chris,Dyer,,"[psychedelic,vibrant,colorful,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
569,Thomas,Eakins,1916,"[realism,impressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
570,Ray,Eames,1988,"[bauhaus,graphic design,architecture]",0,0,0001-01-01,2,0001-01-01,2,,
